systemNanoTime (in ns);utcMilliTime (in ms);latitude (in deg);longitude (in deg);altitude (in m);speed (in m/s);bearing (in deg);azimuth (in deg);pitch (in deg);roll (in deg);gyrx (in rad/s);gyry (in rad/s);gyrz (in rad/s);accx (in m/s2);accy (in m/s2);accz (in m/s2)
150273913514809;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.035892341285943985;3.589832067489624;9.276076316833496
150273914432777;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.009571290574967861;3.534797191619873;9.241081237792969
150273963789913;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;0.0011964113218709826;3.4821550846099854;9.274879455566406
150273966368663;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;0.031106693670153618;3.4271202087402344;9.163313865661621
150273967465538;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;0.02153540402650833;3.442673683166504;9.035298347473145
150273975725121;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.0323031060397625;3.4857444763183594;8.999405860900879
150274028537517;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;-0.039481572806835175;3.525225877761841;8.96231746673584
150274030868194;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;0.02871387079358101;3.5682966709136963;8.915657043457031
150274033736111;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14370182156562805;0.009544488042593002;0.059557609260082245;0.08733802288770676;3.5754752159118652;8.879764556884766
150274035054809;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15210096538066864;0.03229855000972748;0.04497363045811653;0.08733802288770676;3.5754752159118652;8.879764556884766
