LOG: northing, easting, depth, azimith, elevation, range, Local depth
0.7, 0.4, 0, 246.2, 0,0.8,0
0.5, 0.2, 0, 249.4, 0.1,0.6,0
0.5, 0.3, 0, 243.7, -1.4,0.6,0
0.8, 0.2, 0, 250, 2,0.8,0
0.7, 0.2, 0, 249.5, 0.3,0.7,0
0.5, 0.2, 0, 247.5, 1,0.6,0
0.6, 0.3, 0, 249.8, 2.1,0.7,0
0.6, 0.2, 0, 249.4, 0.2,0.7,0
0.8, 0.3, 0, 250.2, 1.8,0.9,0
0.5, 0.3, 0, 243.7, -1.7,0.6,0
0.6, 0.3, 0, 244, -1.3,0.7,0
0.5, 0.2, 0, 247.2, 0.6,0.6,0
0.6, 0.2, 0, 249.9, 1.9,0.6,0
0.7, 0.4, 0, 245.2, -0.2,0.8,0
0.5, 0.2, 0, 249.5, 1.9,0.6,0
0.6, 0.3, 0, 249.5, 0.1,0.7,0
0.7, 0.7, -0.1, 234.4, -11,1,0
0.1, 0.6, -0.1, 221, -15.1,0.6,0
0.5, 0.8, -0.3, 218.8, -21.1,1,0
0.4, 0.3, 0, 238.3, -1.5,0.5,0
0.8, 0.5, 0, 241.4, 1.2,0.9,0
0.5, 0.3, 0, 241.1, 5.4,0.6,0
1, 0.4, -0.1, 247.1, -12.8,1.1,0
0.6, 0.2, -0.1, 249.5, -15,0.7,0
0.7, 0.4, 0, 245.6, 0.7,0.8,0
-0.2, 0.2, -0.1, 125.1, -23,0.3,0
-0.3, 0.2, -0.1, 130.2, -22.3,0.4,0
-0.3, 0.2, -0.2, 125.5, -26.2,0.4,0
-0.6, 0.4, -0.3, 125.9, -20,0.8,0
-0.5, 0.3, -0.3, 125.4, -29.6,0.7,0
-0.2, -0.3, 0.2, 30.1, 30.2,0.4,0
-0.2, -0.7, -0.4, 24.2, -29.1,0.8,0
-0.6, 0.4, 0, 129.2, -3.7,0.7,0
-0.5, 0.4, 0, 133.9, -3.6,0.6,0
-0.3, 0.1, -0.3, 117.1, -37.1,0.5,0
1, 0.2, 0.1, 261.7, 2.6,1.1,0
1, -0.1, 0.3, 280.3, 13.5,1,0
1.2, 0, 0.2, 278, 10.5,1.2,0
-0.5, -0.4, -0.5, 57.1, -35.8,0.8,0
0, -0.3, 0, 9.3, 7.3,0.3,0
0, -0.4, 0, 7.2, 7.5,0.4,0
0, -0.3, 0, 4.4, 4.9,0.3,0
-0.3, -0.5, 0, 30.8, 1.4,0.6,0
0.5, -0.2, -0.3, 298.1, -32.6,0.6,0
0.1, 0.7, -0.3, 193.8, -27.4,0.8,0
0.6, -0.7, 0.2, 321.9, 11.2,1,0
2.1, -0.2, 0, 283.1, -2.5,2.1,0
0.5, 0.2, 0, 238.2, -6.9,0.6,0
0.5, 0.2, 0, 240.6, -2,0.6,0
1, 0.3, -0.1, 242.9, -8.9,1.1,0
0.5, 0.3, 0, 237.9, -8.2,0.6,0
0.5, 0.2, 0, 235.4, -8.8,0.5,0
0.8, 0.2, 0, 243.4, -1.7,0.8,0
-0.7, 0.5, -0.7, 116.7, -36.2,1.1,0
-0.6, 0.3, -0.3, 111.4, -23.6,0.8,0
-0.3, 0, 0.4, 88.7, 51.4,0.5,0
0.8, 0.3, 0, 242.1, -5.5,0.9,0
0.8, 0.3, 0, 242.7, -0.2,0.9,0
0.6, 0.2, 0.1, 243.3, 7.8,0.6,0
1.1, 0.3, 0.1, 244.5, 3.4,1.1,0
0.8, 0.2, 0, 241.1, 3,0.8,0
0.9, 0.3, 0, 245.2, 0.6,1,0
1.1, 0.4, 0.1, 243.7, 1.9,1.2,0
1.3, 0.4, 0, 242.7, -2.2,1.3,0
0.6, 0.2, 0, 244.7, -2,0.6,0
0.6, 0.2, 0, 242.5, -5,0.7,0
1.2, 0.3, 0, 244.3, -2.2,1.3,0
0.5, 0.1, 0, 243.4, 0.7,0.6,0
0.6, 0.2, 0, 244.9, 0.6,0.7,0
0.9, 0.2, 0, 249.3, 2.2,0.9,0
0.6, 0.1, -0.2, 226.8, -24.3,0.7,0
0.2, -0.4, 0.4, 299.9, 35.4,0.7,0
0.2, -0.4, 0.4, 299.9, 35.4,0.6,0
0.2, -0.4, 0.3, 299.9, 35.5,0.6,0
0.3, -0.5, 0.4, 299.9, 35.4,0.7,0
0.3, -0.5, 0.4, 299.9, 35.4,0.8,0
0.2, -0.4, 0.4, 299.9, 35.4,0.7,0
0.3, -0.5, 0.4, 299.9, 35.4,0.7,0
-0.5, 0.3, -0.7, 91.7, -44,0.9,0
-0.6, 0.2, -0.6, 79.1, -41.5,0.9,0
-0.4, 0.1, -0.5, 78.6, -47,0.7,0
-0.2, 0, -0.3, 72.2, -50.8,0.4,0
-0.6, 0.1, -0.6, 76.7, -43.8,0.9,0
-0.6, 1, 0, 192.9, -16.6,1.2,0
-0.7, -1.2, 0.2, 132.5, 10,1.4,0
-0.6, 0.3, -0.5, 69.7, -39.7,1,0
-1.1, 0.2, -0.8, 52.3, -40.4,1.4,0
-0.5, 0.2, -0.6, 69.3, -50.7,0.9,0
-0.7, 0.6, -0.9, 83.3, -45.2,1.4,0
