LOG: northing, easting, depth, azimith, elevation, range, Local depth
-27, -71, -4, 57, -11,7,13
-25, -73, -3, 55, -9,7,13
-25, -69, -9, 56, -14,7,13
-14, -74, -15, 48, -19,8,13
-13, -76, -12, 45, -16,8,13
-12, -75, -10, 46, -15,8,13
-12, -75, -12, 46, -17,8,13
-6, -80, -9, 41, -14,8,13
10, -72, -5, 29, -13,7,13
21, -69, -3, 20, -12,7,13
28, -64, -2, 13, -13,7,13
35, -63, -1, 6, -12,7,13
46, -56, -3, 359, -13,7,13
57, -53, -1, 348, -12,7,13
63, -50, 0, 343, -11,8,13
86, -49, 0, 333, -7,10,13
87, -46, -1, 335, -9,10,13
85, -49, -1, 335, -9,9,13
87, -47, 3, 335, -7,9,13
83, -51, 0, 336, -8,9,13
85, -46, 3, 335, -7,9,13
84, -49, 1, 336, -8,9,13
84, -47, 1, 334, -8,9,13
84, -48, 2, 335, -7,9,13
91, -43, -5, 333, -12,10,13
120, -29, -4, 321, -10,12,13
122, -21, -3, 316, -9,12,13
119, -26, -9, 314, -11,12,13
122, -20, -5, 316, -9,12,13
127, -19, -11, 313, -10,13,13
132, -23, -11, 312, -14,13,13
133, 3, -10, 307, -13,13,13
136, 12, 3, 286, -14,13,13
137, 8, 35, 275, -16,13,14
136, -10, -8, 268, -12,13,13
132, -21, -12, 302, -11,13,12
136, -8, -14, 301, -9,13,13
140, -10, -18, 298, -11,14,13
147, 4, -18, 293, -10,15,13
153, -5, -17, 294, -9,15,13
147, 13, -26, 292, -12,15,13
149, 2, -23, 293, -11,15,13
146, 5, -21, 293, -11,15,13
145, -4, -26, 295, -12,15,13
143, 0, -22, 297, -12,14,13
141, -6, -24, 297, -12,14,13
139, -11, -22, 299, -11,14,13
144, -16, -13, 301, -8,14,13
145, -19, -22, 303, -11,15,13
148, -21, -24, 303, -12,15,13
152, -22, -23, 304, -10,15,13
155, -34, -18, 307, -12,16,13
156, -36, -27, 308, -13,16,13
156, -39, -20, 308, -11,16,13
157, -37, -20, 308, -12,16,13
157, -39, -19, 309, -11,16,13
161, -40, -20, 309, -11,16,13
162, -49, -18, 312, -10,17,13
163, -62, -17, 315, -9,17,13
168, -61, -21, 316, -9,18,13
168, -76, -17, 320, -8,18,13
172, -67, -19, 318, -8,18,13
171, -71, -22, 319, -10,18,13
170, -76, -20, 319, -8,19,13
173, -73, -11, 319, -6,19,13
172, -83, -7, 320, -4,19,13
176, -81, -9, 320, -5,19,13
177, -73, -13, 320, -6,19,13
176, -74, -11, 320, -6,19,13
170, -82, -7, 320, -5,19,13
170, -77, -13, 321, -6,18,13
170, -74, -22, 320, -8,18,13
170, -81, -13, 320, -6,19,13
169, -82, -19, 320, -7,19,13
174, -75, 9, 320, 0,18,13
171, -78, 3, 320, -2,18,13
174, -73, 4, 319, -1,18,13
171, -80, 7, 321, 0,18,13
175, -76, 3, 319, 0,19,13
174, -78, -4, 319, -2,19,13
173, -80, -4, 319, -2,19,13
179, -66, -2, 317, -4,19,13
