LOG: northing, easting, depth, azimith, elevation, range, Local depth
179, -83, 2, 320, -2,19,13
181, -80, 0, 320, -3,19,13
180, -81, 0, 320, -2,19,13
184, -76, 11, 320, 0,20,13
177, -84, 23, 322, 4,19,13
182, -76, 22, 319, 4,19,13
182, -81, 13, 320, 2,19,13
185, -67, -9, 318, -5,19,13
190, -69, -21, 317, -8,20,13
191, -76, -18, 318, -7,20,13
197, -62, -23, 314, -8,20,13
199, -68, -23, 316, -8,21,13
201, -70, -25, 316, -8,21,13
202, -73, -25, 315, -8,21,13
203, -72, -25, 315, -7,21,13
209, -62, -39, 314, -10,22,13
244, -148, -23, 327, -6,28,13
240, -158, -31, 328, -7,29,13
246, -153, -32, 327, -7,29,13
252, -144, -30, 326, -7,29,13
246, -157, -24, 329, -7,29,13
248, -164, -28, 329, -7,30,13
258, -157, -31, 329, -8,30,13
261, -157, -33, 329, -8,30,13
260, -162, -37, 329, -7,31,13
254, -182, -36, 329, -7,31,13
268, -164, -19, 327, -4,31,13
260, -175, -41, 330, -8,31,13
271, -169, -30, 330, -6,32,13
259, -181, -41, 330, -8,32,13
259, -181, -36, 329, -6,32,13
265, -167, -40, 328, -7,31,13
252, -159, -37, 328, -8,30,13
198, -160, -23, 333, -6,25,13
185, -151, -22, 335, -7,24,13
182, -145, -14, 335, -6,23,13
141, -144, -4, 342, -5,20,13
125, -136, -17, 343, -9,18,13
116, -135, -16, 344, -9,18,13
112, -135, -3, 347, -5,17,13
99, -128, -16, 347, -10,16,13
87, -123, -17, 352, -11,15,13
77, -120, -20, 353, -13,14,13
50, -120, -16, 2, -13,13,13
50, -118, -15, 4, -13,13,13
36, -113, -16, 8, -15,12,13
26, -76, -7, 7, -15,8,13
22, -67, -4, 7, -15,7,13
19, -57, -2, 7, -15,6,13
17, -48, 0, 6, -16,5,13
15, -42, 1, 6, -15,4,13
14, -41, 2, 5, -15,4,13
12, -36, 2, 6, -16,4,13
10, -37, 3, 10, -15,4,13
8, -40, 3, 14, -15,4,13
5, -37, 4, 16, -15,3,13
3, -32, 6, 18, -15,3,13
