LOG: northing, easting, depth, azimith, elevation, range, Local depth
11.9, -11.1, 2, 20.7, -8.6,16.4,0
11.8, -11.1, 2.6, 19.1, -10.4,16.5,0
11.6, -11.3, 3.1, 18, -12.6,16.5,0
11.4, -11.3, 3.8, 17.9, -15,16.5,0
11.4, -11.6, 3.8, 17.2, -15,16.7,0
11.4, -11.8, 4, 18.3, -15,16.9,0
12, -11.3, 3.9, 18.3, -15,17,0
11.4, -12.1, 4, 16.4, -15,17.1,0
11.6, -11.9, 4, 18.8, -15,17.1,0
12, -11.6, 4, 19.1, -15,17.2,0
11.9, -11.7, 4, 19.1, -15,17.2,0
12.1, -11.7, 4, 19.1, -15,17.3,0
11.4, -11.9, 4, 19.1, -15,17,0
11.4, -11.8, 3.2, 19.4, -12.8,16.8,0
12.1, -11.5, 2.8, 19.6, -11,16.9,0
11.5, -12, 0.5, 20.5, -3.6,16.7,0
11.9, -10.6, -1.1, 23.3, 2.2,16,0
13.2, -8.2, -2.3, 27.6, 7.1,15.7,0
11.4, -10.7, -1.3, 23.5, 3.5,15.7,0
11.7, -11.1, 1.7, 18.9, -7.7,16.3,0
15.5, -14.3, 0.7, 22.9, -3.4,21.1,0
14.3, -11, -0.5, 27.9, 0.2,18,0
15.2, -10.9, -0.7, 30.7, 1,18.8,0
15.8, -10.5, -0.8, 29.8, 1.1,19,0
16.7, -9.9, -2, 33.6, 4.5,19.5,0
17.2, -10.6, -1.7, 33.6, 3.4,20.2,0
18.5, -9.7, -2.1, 35.1, 4.5,21,0
19.2, -9.9, -2.2, 34.8, 4.3,21.8,0
20, -9.7, -2, 37.4, 3.8,22.4,0
20.1, -10.6, -2, 37, 3.8,22.8,0
19.8, -10.5, -1.9, 35.8, 3.5,22.6,0
19.5, -11.1, -1.6, 33.3, 2.7,22.5,0
18.6, -13, -1.8, 31.6, 2.9,22.8,0
18.8, -13.1, -1.5, 29.8, 2.5,22.9,0
18.9, -13.1, -1.6, 28.1, 2.7,23.1,0
19.2, -12.9, -2.4, 31.6, 4.4,23.3,0
20.1, -11.9, -1.6, 29.7, 2.5,23.4,0
18.7, -14.3, -1.6, 26.3, 2.6,23.6,0
18.4, -14.9, -2.3, 24.8, 4.1,23.8,0
19.8, -13.2, -2.6, 25.8, 4.9,24,0
19.6, -14.1, -1.8, 26.9, 2.8,24.3,0
19.2, -14.1, -3.6, 30.4, 7.3,24.1,0
19.1, -14.1, 1.3, 25.9, -4.7,23.8,0
17.4, -15.9, 1.4, 21, -4.8,23.6,0
16.4, -16.4, 0.5, 18.2, -2.9,23.2,0
16.6, -15.8, 0.7, 20.9, -3.1,23,0
16, -16, 0.6, 18.6, -2.9,22.7,0
16.7, -14.9, 1, 21.4, -4,22.4,0
15.9, -15.9, -0.1, 18, -1.3,22.5,0
14.1, -17.2, -1, 11.8, 1,22.3,0
14.3, -17, 0.2, 13, -2.3,22.2,0
11.8, -18.6, -0.9, 6.2, 0.6,22.1,0
11.4, -18.9, -0.4, 3.4, -0.3,22,0
12.2, -18.3, -1, 4.7, 1.2,22,0
10.8, -19, -1.5, 5.6, 2.6,21.9,0
10.8, -18.7, -1.4, 5.9, 2,21.7,0
10.3, -19, 0.2, 2.5, -2.2,21.6,0
9.3, -19.4, -0.8, 1.7, 0.3,21.6,0
9.7, -19, -0.7, 2.1, 0.6,21.4,0
11.1, -17.9, -0.6, 1.9, 0.2,21.1,0
9.2, -18.8, -1.6, 2, 2.8,21,0
