LOG: northing, easting, depth, azimith, elevation, range, Local depth
6.8, -14, -1, 359.3, 2.4,15.6,0
6.6, -13.9, -1.5, 357, 4.3,15.5,0
5.7, -13.6, -2.8, 357.5, 9.2,15,0
5.5, -13.5, -1.8, 355.6, 5.8,14.7,0
6.4, -13, -1.5, 358.1, 4.3,14.6,0
6.9, -12.8, -1.5, 358.4, 4.6,14.6,0
5.4, -13.4, -1.7, 356.5, 5.3,14.5,0
6.2, -12.8, -2.1, 358.6, 7.4,14.5,0
5.7, -13, -1.7, 358.7, 4.8,14.3,0
5.4, -13.2, -1.2, 358.8, 3.6,14.3,0
5.6, -13, -0.9, 355.8, 2.6,14.2,0
6.1, -12.7, 1.1, 359.1, -6.1,14.1,0
5.5, -12.9, 0.3, 355.1, -3,14.1,0
2.4, -13.8, -0.2, 343.3, 0,14,0
0.8, -13.8, -0.1, 336.5, -0.6,13.8,0
1.1, -13.4, -2.9, 339.9, 11.2,13.7,0
0, -12.9, -1.3, 334.7, 4.2,13,0
-0.1, -12.1, -0.4, 332.7, 0.9,12.1,0
-0.5, -11.4, 0, 331.9, -1.2,11.4,0
-0.2, -10.4, -0.1, 331.4, 0,10.5,0
-0.5, -9.6, -0.7, 330.8, 3.4,9.6,0
-0.6, -8.9, -0.8, 329.7, 4,8.9,0
-0.5, -7.9, -0.9, 330.6, 5.6,8,0
-0.5, -7.7, -0.8, 330.8, 5.4,7.7,0
-0.1, -6.9, -0.9, 330.6, 6.4,7,0
-1.2, -6, 0.2, 323.2, -3.1,6.2,0
-0.9, -4.9, 0.9, 319.8, -11.5,5,0
-1, -4.5, 0.9, 320.7, -11.9,4.8,0
-0.9, -3.7, 0.8, 321.3, -13.1,3.9,0
-0.2, -3, 0.5, 325.3, -12.2,3.1,0
-0.1, -2.4, 0.4, 326.4, -12,2.4,0
-0.4, -2.1, 0.4, 325.8, -11.8,2.2,0
-0.2, -2.1, 0.4, 328, -11.9,2.1,0
-0.1, -1.7, 0.5, 329, -18.4,1.8,0
0.4, -1.5, 0.3, 350.7, -11.4,1.6,0
0.8, -1.9, 0.5, 354.3, -15.4,2.2,0
1.1, -2.4, 0.7, 359.2, -15.7,2.7,0
1.1, -2.3, 0.7, 358.1, -16,2.7,0
0.9, -2.3, 0.6, 357.1, -15.6,2.5,0
1.2, -2.5, 0.7, 358, -16,2.9,0
1.1, -2.5, 0.7, 357.4, -15.6,2.8,0
0.8, -2.6, 0.7, 350.4, -15.4,2.9,0
0.6, -2.6, 0.8, 347.7, -17.7,2.8,0
0.6, -2.2, -1.3, 348.2, 29.2,2.7,0
0.6, -1.8, -2.7, 353.8, 53.9,3.3,0
0.5, -2.2, -2.1, 346, 42.1,3.1,0
0.3, -1.8, -1.8, 347.1, 43.6,2.6,0
0.4, -1.7, -1.8, 347.2, 44.6,2.5,0
0.5, -1.5, -1.8, 350.2, 46.8,2.4,0
0.4, -1.5, -1.8, 347.3, 47.7,2.4,0
0.3, -1.9, -1.9, 345.9, 43.4,2.8,0
0.6, -1.1, -2, 1.3, 54.7,2.4,0
0.6, -1, -1.9, 3, 56.4,2.3,0
0.6, -0.8, -1.9, 12.7, 58,2.2,0
0.7, -0.8, -1.9, 13.5, 58.4,2.2,0
0.6, -0.7, -1.9, 13.2, 61.4,2.1,0
0.5, -0.7, -1.9, 6.9, 63.4,2.1,0
0.4, -0.7, -1.9, 2.5, 64.3,2.1,0
0.3, -0.8, -2.1, 356.6, 66.1,2.3,0
0.1, -0.8, -2, 351, 65.9,2.2,0
0, -0.8, -2, 338.4, 65.3,2.2,0
0, -0.8, -2, 335.1, 66.6,2.2,0
0, -0.8, -2, 335.9, 65.6,2.2,0
0.1, -0.8, -2, 345.9, 66,2.2,0
0, -0.6, -2.5, 338.4, 74.8,2.6,0
0.2, -0.6, -2.2, 353, 72.8,2.4,0
-1.4, -1.3, -2.4, 288.7, 50.9,3.1,0
0, -0.9, -3.4, 335.1, 73.2,3.5,0
-0.5, -0.8, -2.8, 307.4, 70.4,3,0
-0.5, -0.7, -2.5, 305.2, 68.6,2.7,0
-0.1, -0.8, -2.6, 330.1, 71.3,2.7,0
0, -0.5, -2.3, 337.8, 75.1,2.4,0
0, -0.9, -2.5, 331.5, 69.1,2.7,0
0, -0.5, -2.3, 342, 75.1,2.4,0
