LOG: northing, easting, depth, azimith, elevation, range, Local depth
-37, -69, -12, 63, -15,8,13
-34, -70, -14, 63, -16,8,13
-36, -68, -16, 64, -17,8,13
-36, -68, -14, 65, -16,8,13
-38, -67, -14, 66, -15,8,13
-39, -67, -14, 66, -15,8,13
-37, -68, -13, 65, -15,8,13
-40, -66, -14, 67, -17,8,13
-39, -66, -15, 68, -17,8,13
-39, -66, -15, 67, -17,8,13
-43, -62, -17, 71, -19,8,13
-50, -58, -11, 78, -16,8,13
-47, -59, -15, 75, -18,8,13
-37, -66, -12, 66, -16,8,13
-33, -68, -18, 62, -21,8,13
-33, -70, -19, 62, -21,8,13
-26, -70, -13, 57, -18,8,13
-20, -70, -14, 52, -18,7,13
-13, -71, -13, 47, -18,7,13
-11, -73, -10, 46, -16,7,13
-10, -77, -10, 44, -16,8,13
-9, -77, -10, 44, -15,8,13
-9, -77, -8, 42, -14,8,13
-12, -73, -10, 46, -15,7,13
-8, -76, -10, 44, -15,8,13
-10, -77, -1, 44, -8,8,13
-30, -77, 16, 58, 4,8,13
