LOG: northing, easting, depth, azimith, elevation, range, Local depth
2.4, -4.2, -0.1, 3.8, 0,4.8,0
2.1, -4.3, -0.1, 3.3, 0.4,4.8,0
2.5, -4.1, -0.1, 3.1, 0.4,4.8,0
2.1, -4.2, -0.1, 2.5, 0.4,4.7,0
2.3, -4.1, -0.1, 2.1, 0.4,4.8,0
2.1, -4, -0.1, 2.2, 0.8,4.6,0
2, -4.1, -0.1, 1.6, 0.4,4.6,0
2.1, -4, -0.1, 1.3, 0.7,4.6,0
2, -4, -0.1, 0.7, 0.6,4.5,0
2.2, -3.9, -0.1, 1, 0.6,4.5,0
1.9, -4, -0.1, 0.2, 0.5,4.4,0
1.9, -3.9, -0.1, 0.1, 0.7,4.3,0
1.9, -3.9, -0.1, 0, 1,4.3,0
1.7, -3.9, -0.3, 359.6, 3.1,4.3,0
1.9, -3.8, -1.8, 0.9, 21.6,4.7,0
2.1, -4, -1.8, 2.5, 20.9,4.9,0
2.1, -4.1, -1.6, 0.4, 18.6,4.9,0
2.1, -4.4, -1.7, 0.6, 18.6,5.2,0
2, -5.2, -1.8, 356, 16.5,5.9,0
2.3, -5.4, -2.1, 356.6, 18.3,6.2,0
2.7, -5.9, -2.2, 357, 17.7,6.9,0
3.2, -6.4, -2.1, 359.4, 15.1,7.5,0
3.5, -7, -2.2, 359.5, 14.4,8.2,0
4, -7.6, -1.9, 359.5, 10.8,8.8,0
3.8, -8.5, -2.1, 0, 11,9.6,0
4, -9.2, -1.9, 358.9, 9.4,10.3,0
5.2, -9.5, -1, 2.7, 3.7,10.9,0
5.5, -10.2, -1.1, 359.7, 4.2,11.6,0
5.4, -10.8, -0.7, 359.2, 1.8,12.1,0
5.1, -10.6, -2.5, 0.8, 10.3,12.1,0
