LOG: northing, easting, depth, azimith, elevation, range, Local depth
8, -32, 4, 18, -15,3,13
9, -30, 4, 17, -16,3,13
9, -32, 5, 19, -15,3,13
6, -32, 4, 18, -16,3,13
9, -31, 4, 18, -16,3,13
10, -31, 5, 17, -15,3,13
7, -32, 5, 18, -15,3,13
9, -32, 5, 18, -15,3,13
8, -32, 5, 17, -15,3,13
10, -31, 5, 16, -15,3,13
10, -31, 5, 16, -15,3,13
9, -32, 4, 16, -15,3,13
9, -31, 5, 16, -15,3,13
11, -31, 5, 15, -15,3,13
11, -31, 4, 15, -15,3,13
11, -31, 4, 15, -15,3,13
11, -31, 4, 14, -15,3,13
12, -32, 4, 15, -15,3,13
12, -30, 4, 15, -15,3,13
11, -29, 5, 13, -15,3,13
9, -30, 5, 12, -15,3,13
13, -33, 4, 13, -15,3,13
13, -36, 3, 12, -15,4,13
14, -41, 2, 14, -15,4,13
12, -48, 3, 16, -12,5,13
14, -55, 3, 19, -10,5,13
11, -59, 3, 21, -9,6,13
8, -61, 2, 21, -10,6,13
16, -58, 3, 21, -9,6,13
14, -59, 3, 22, -9,6,13
10, -59, 3, 21, -9,6,13
10, -59, 2, 21, -10,6,13
8, -59, 3, 23, -9,6,13
10, -58, 3, 22, -10,6,13
9, -60, 4, 23, -8,6,13
12, -59, 3, 23, -9,6,13
11, -61, 3, 23, -9,6,13
14, -59, 2, 23, -10,6,13
16, -66, 2, 20, -9,6,13
19, -72, 2, 19, -9,7,13
21, -81, 1, 19, -8,8,13
27, -87, 0, 16, -8,9,13
26, -94, -1, 18, -8,9,13
29, -94, 0, 18, -7,9,13
27, -95, 0, 18, -7,10,13
31, -94, 2, 18, -7,10,13
31, -94, 0, 17, -7,10,13
25, -95, 0, 18, -7,9,13
31, -94, 0, 18, -8,10,13
28, -94, 2, 18, -7,9,13
33, -93, 1, 19, -7,9,13
30, -97, -1, 17, -8,10,13
32, -101, -1, 17, -8,10,13
28, -103, 0, 19, -8,10,13
25, -108, 0, 19, -7,11,13
26, -106, -1, 18, -8,11,13
32, -105, -4, 18, -9,11,13
27, -106, -2, 19, -9,11,13
38, -104, -3, 18, -8,11,13
38, -110, -5, 18, -9,11,13
37, -118, -1, 17, -7,12,13
38, -124, 0, 17, -6,13,13
39, -130, -2, 18, -7,13,13
45, -130, -5, 16, -8,13,13
47, -133, 0, 18, -6,14,13
34, -138, -3, 18, -7,14,13
43, -141, -6, 17, -8,14,13
52, -144, -3, 15, -6,15,13
54, -152, 1, 16, -5,16,13
