LOG: northing, easting, depth, azimith, elevation, range, Local depth
10, -33, 3, 11, -16,3,13
10, -33, 4, 11, -15,3,13
11, -33, 4, 12, -15,3,13
12, -32, 3, 12, -15,3,13
10, -33, 4, 12, -15,3,13
10, -33, 4, 12, -15,3,13
11, -32, 3, 12, -16,3,13
10, -34, 3, 13, -15,3,13
10, -33, 4, 13, -15,3,13
9, -34, 3, 13, -16,3,13
8, -34, 4, 14, -15,3,13
11, -34, 3, 13, -15,3,13
8, -34, 4, 14, -15,3,13
8, -34, 3, 14, -15,3,13
8, -35, 4, 14, -15,3,13
7, -35, 4, 15, -15,3,13
8, -34, 3, 15, -15,3,13
11, -34, 3, 16, -15,3,13
9, -34, 4, 16, -15,3,13
8, -34, 4, 17, -15,3,13
8, -34, 4, 17, -14,3,13
7, -32, 7, 18, -10,3,13
6, -32, 12, 19, -2,3,13
5, -32, 20, 21, 11,3,13
4, -32, 28, 23, 24,3,13
2, -30, 34, 27, 33,3,13
5, -33, 17, 22, 7,3,13
3, -32, 4, 27, -15,3,13
5, -32, 3, 25, -17,3,13
4, -30, 4, 19, -16,3,13
7, -30, 4, 17, -16,3,13
5, -29, 5, 18, -15,3,13
5, -26, 6, 18, -15,2,13
5, -28, 5, 17, -16,3,13
4, -32, 5, 22, -14,3,13
3, -32, 7, 29, -10,3,13
1, -34, 1, 25, -19,3,13
3, -33, 4, 26, -16,3,13
5, -34, 1, 23, -19,3,13
3, -35, 2, 25, -17,3,13
3, -38, 0, 26, -18,4,13
0, -38, 1, 28, -18,4,13
2, -37, 1, 28, -17,3,13
