LOG: northing, easting, depth, azimith, elevation, range, Local depth
-23, -172, -12, 43, -9,17,13
-26, -173, 0, 43, -6,17,13
-32, -170, -15, 44, -10,17,13
-39, -173, -8, 48, -8,17,13
-59, -175, -15, 54, -9,18,13
-72, -169, -17, 55, -10,18,13
-68, -175, -16, 57, -10,19,13
-113, -172, -18, 67, -9,20,13
-108, -177, -13, 66, -7,20,13
-118, -169, -17, 68, -8,20,13
-118, -168, -12, 68, -7,20,13
-104, -173, -17, 66, -7,20,13
-94, -171, -14, 65, -8,19,13
-85, -168, -14, 62, -8,19,13
-89, -165, -13, 62, -8,18,13
-94, -167, -10, 64, -7,19,13
-94, -165, -14, 66, -8,19,13
-99, -162, -12, 67, -7,19,13
-102, -154, -14, 70, -7,18,13
-94, -154, -14, 69, -9,18,13
-92, -150, -19, 68, -9,17,13
-99, -143, -8, 69, -7,17,13
-81, -148, -13, 67, -8,17,13
-79, -143, -5, 66, -6,16,13
-76, -136, -15, 64, -9,15,13
-63, -134, -7, 62, -7,15,13
-70, -125, -4, 62, -6,14,13
-63, -113, -4, 64, -7,13,13
-61, -106, -5, 65, -8,12,13
-59, -95, -7, 64, -10,11,13
-44, -95, -6, 63, -10,10,13
-47, -86, -6, 63, -10,10,13
-35, -84, -4, 59, -11,9,13
-37, -82, -2, 59, -9,9,13
-39, -81, 0, 60, -8,9,13
-40, -79, 0, 59, -8,9,13
-41, -77, 1, 61, -8,8,13
-38, -77, -1, 61, -9,8,13
-39, -77, 0, 62, -9,8,13
-37, -76, -4, 61, -11,8,13
-40, -75, -3, 62, -10,8,13
-37, -77, 0, 62, -10,8,13
-43, -73, -2, 64, -10,8,13
-41, -73, -2, 64, -10,8,13
-41, -73, -1, 64, -9,8,13
-40, -75, -1, 64, -9,8,13
-41, -72, -2, 64, -9,8,13
