LOG: northing, easting, depth, azimith, elevation, range, Local depth
7, -31, 5, 17, -15,3,13
5, -31, 7, 17, -11,3,13
7, -30, 11, 17, -4,3,13
6, -30, 13, 19, 0,3,13
6, -28, 15, 19, 4,2,13
6, -27, 17, 19, 8,2,13
5, -27, 19, 20, 11,2,13
4, -27, 17, 20, 8,2,13
6, -25, 13, 19, -1,2,13
4, -27, 7, 23, -12,2,13
8, -29, 4, 18, -16,3,13
7, -31, 3, 17, -17,3,13
8, -31, 5, 18, -15,3,13
8, -29, 5, 15, -15,3,13
8, -31, 4, 14, -15,3,13
7, -31, 5, 13, -15,3,13
11, -30, 4, 10, -16,3,13
14, -32, 4, 10, -15,3,13
13, -32, 3, 10, -16,3,13
12, -33, 3, 9, -16,3,13
